,0
600535.SH,9.050111027740299e-06
300043.SZ,4.178862089734177e-05
002007.SZ,3.2364162529688916e-05
600011.SH,0.00012154019275062643
601901.SH,0.00019951548682678864
600089.SH,0.00017767411177693984
600000.SH,0.00018028350156264647
600519.SH,2.1003147411253125e-05
600387.SH,1308.8340100505366
300273.SZ,13860.920547541798
